KPI_DON_Code,NSO_DON_name,NSO_ZON_name,iso_3,iso_2,lat,long,admission_date,admission_date_note
DKE001,Kenya Red Cross Society,Africa,KEN,KE,-0.023559,37.906193,05.09.1967,
DKG001,Red Crescent Society of Kyrgyzstan,Europe and Central Asia,KGZ,KG,41.20438,74.766098,20.11.1997,
DKH001,Cambodian Red Cross Society,Asia Pacific,KHM,KH,12.565679,104.990963,02.10.1961,
DKI001,Kiribati Red Cross Society,Asia Pacific,KIR,KI,-3.370417,-168.734039,20.11.1997,
DKM001,The Comoros Red Crescent,Africa,COM,KM,-11.875001,43.872219,11.11.2005,
DKN001,Saint Kitts and Nevis Red Cross Society,Americas,KNA,KN,17.357822,-62.782998,25.10.1993,
DKP001,Red Cross Society of the Democratic People's Republic of Korea,Asia Pacific,PRK,KP,40.339852,127.510093,26.10.1957,
DKR001,The Republic of Korea National Red Cross,Asia Pacific,KOR,KR,35.907757,127.766922,26.10.1957,
DKW001,Kuwait Red Crescent Society,Middle East and North Africa,KWT,KW,29.31166,47.481766,01.09.1969,
DKZ001,Kazakh Red Crescent,Europe and Central Asia,KAZ,KZ,48.019573,66.923684,28.11.2003,
DLA001,Lao Red Cross,Asia Pacific,LAO,LA,19.85627,102.495496,26.10.1957,
DLB001,Lebanese Red Cross,Middle East and North Africa,LBN,LB,33.854721,35.862285,18.08.1948,
DLC001,Saint Lucia Red Cross,Americas,LCA,LC,13.909444,-60.978893,18.10.1986,
DLI001,Liechtenstein Red Cross,Europe and Central Asia,LIE,LI,47.166,9.555373,05.12.1945  ,
DLK001,The Sri Lanka Red Cross Society,Asia Pacific,LKA,LK,7.873054,80.771797,25.07.1952,
DLR001,Liberian Red Cross Society,Africa,LBR,LR,6.428055,-9.429499,26.09.1959,
DLS001,Lesotho Red Cross Society,Africa,LSO,LS,-29.609988,28.233608,12.10.1971,
DLT001,Lithuanian Red Cross Society,Europe and Central Asia,LTU,LT,55.169438,23.881275,12.01.1924,and reintegrated on 25.11.1991
DLU001,Luxembourg Red Cross,Europe and Central Asia,LUX,LU,49.815273,6.129583,29.10.1921,
DLV001,Latvian Red Cross,Europe and Central Asia,LVA,LV,56.879635,24.603189,25.05.1923,and reintegrated on 25.11.1991
DLY001,Libyan Red Crescent,Middle East and North Africa,LBY,LY,26.3351,17.228331,26.09.1959,
DMA001,Moroccan Red Crescent,Middle East and North Africa,MAR,MA,31.791702,-7.09262,26.09.1959,
DMC001,Red Cross of Monaco,Europe and Central Asia,MCO,MC,43.750298,7.412841,18.08.1948,
DMD001,Red Cross Society of the Republic of Moldova,Europe and Central Asia,MDA,MD,47.411631,28.369885,07.11.2001,
DME001,Red Cross of Montenegro,Europe and Central Asia,MNE,ME,42.708678,19.37439,20.11.2007,
DMG001,Malagasy Red Cross Society,Africa,MDG,MG,-18.766947,46.869107,28.08.1963,
DMK001,The Red Cross of The Former Yugoslav Republic of Macedonia,Europe and Central Asia,MKD,MK,41.608635,21.745275,27.11.1995,
DML001,Mali Red Cross,Africa,MLI,ML,17.570692,-3.996166,01.09.1969,
DMM001,Myanmar Red Cross Society,Asia Pacific,MMR,MM,21.913965,95.956223,23.05.1946 ,
DMN001,Mongolian Red Cross Society,Asia Pacific,MNG,MN,46.862496,103.846656,26.09.1959,
DMR001,Mauritanian Red Crescent,Africa,MRT,MR,21.00789,-10.940835,02.11.1973,
DMT001,Malta Red Cross Society,Europe and Central Asia,MLT,MT,35.937496,14.375416,25.10.1993,
DMU001,Mauritius Red Cross Society,Africa,MUS,MU,-20.348404,57.552152,07.10.1977,
