KPI_DON_Code,NSO_DON_name,NSO_ZON_name,iso_3,iso_2,lat,long,admission_date
DCI001,Red Cross Society of Côte d'Ivoire,Africa,CIV,CI,8,−5,
DCK001,Cook Islands Red Cross Society,Asia Pacific,#N/A,#N/A,#N/A,#N/A,
DCL001,Chilean Red Cross,Americas,CHL,CL,−30,−71,
DCM001,Cameroon Red Cross Society,Africa,CMR,CM,6,12,
DCN001,Red Cross Society of China,Asia Pacific,CHN,CN,35,105,
DCO001,Colombian Red Cross Society,Americas,COL,CO,4,−72,
DCR001,Costa Rican Red Cross,Americas,CRI,CR,10,−84,
DCS001,The Red Cross of Serbia,Europe and Central Asia,#N/A,#N/A,#N/A,#N/A,
DCU001,Cuban Red Cross,Americas,CUB,CU,21.5,−80,
DCV001,Red Cross of Cape Verde,Africa,CPV,CV,16,−24,
DCY001,Cyprus Red Cross Society,Europe and Central Asia,CYP,CY,35,33,
DCZ001,Czech Red Cross,Europe and Central Asia,CZE,CZ,50.15.00,15.5,
DDE001,German Red Cross,Europe and Central Asia,DEU,DE,51,9,
DDJ001,Red Crescent Society of Djibouti,Africa,DJI,DJ,11.5,43,
DDK001,Danish Red Cross,Europe and Central Asia,DNK,DK,56,10,
DDM001,Dominica Red Cross Society,Americas,DMA,DM,84.27.00,−116.33.00,
DDO001,Dominican Red Cross,Americas,DOM,DO,19,−181.07.00,
DDZ001,Algerian Red Crescent,Middle East and North Africa,DZA,DZ,28,3,
DEC001,Ecuadorian Red Cross,Americas,ECU,EC,−2,-77.5,
DEE001,Estonia Red Cross,Europe and Central Asia,EST,EE,59,26,
DEG001,Egyptian Red Crescent Society,Middle East and North Africa,EGY,EG,27,30,
DES001,Spanish Red Cross,Europe and Central Asia,ESP,ES,40,−4,
DET001,Ethiopian Red Cross Society,Africa,ETH,ET,8,38,
DFI001,Finnish Red Cross,Europe and Central Asia,FIN,FI,64,26,
DFJ001,Fiji Red Cross Society,Asia Pacific,FJI,FJ,,,
DFM001,Micronesia Red Cross,Asia Pacific,FSM,FM,,,
DFR001,French Red Cross,Europe and Central Asia,FRA,FR,,,
DGA001,Gabonese Red Cross Society,Africa,GAB,GA,,,
DGB001,British Red Cross,Europe and Central Asia,GBR,GB,,,
DGD001,Grenada Red Cross Society,Americas,GRD,GD,,,
DGE001,Red Cross Society of Georgia,Europe and Central Asia,GEO,GE,,,
DGH001,Ghana Red Cross Society,Africa,GHA,GH,,,
DGM001,The Gambia Red Cross Society,Africa,GMB,GM,,,
DGN001,Red Cross Society of Guinea,Africa,GIN,GN,,,
DGQ001,Red Cross of Equatorial Guinea,Africa,GNQ,GQ,,,
DGR001,Hellenic Red Cross,Europe and Central Asia,GRC,GR,,,
DGT001,Guatemalan Red Cross,Americas,GTM,GT,,,
DGW001,Red Cross Society of Guinea-Bissau,Africa,GNB,GW,,,
DGY001,The Guyana Red Cross Society,Americas,GUY,GY,,,
DHN001,Honduran Red Cross,Americas,HND,HN,,,
DHR001,Croatian Red Cross,Europe and Central Asia,HRV,HR,,,
DHT001,Haiti Red Cross Society,Americas,HTI,HT,,,
DHU001,Hungarian Red Cross,Europe and Central Asia,HUN,HU,,,
